,日期,第一號碼,第二號碼,第三號碼,第四號碼,第五號碼,第六號碼,特別碼
125,104/02/17,11,15,23,46,40,03,13
126,104/02/13,25,01,29,09,15,35,38
127,104/02/10,29,14,44,26,15,35,09
128,104/02/06,11,42,05,29,46,36,48
129,104/02/03,30,13,16,18,05,15,08
130,104/03/31,02,32,43,13,25,04,15
131,104/03/27,12,36,24,13,18,15,39
132,104/03/24,09,04,06,17,03,24,28
133,104/03/20,04,13,07,29,09,46,08
134,104/03/17,36,42,49,05,32,40,01
135,104/03/13,06,22,09,14,33,16,11
136,104/03/10,11,25,46,47,03,34,42
137,104/03/06,44,22,21,06,37,35,29
138,104/03/03,43,46,41,06,11,04,21
139,104/04/28,03,44,36,26,12,05,23
140,104/04/24,13,25,41,46,35,31,49
141,104/04/21,01,22,03,33,29,11,30
142,104/04/17,47,45,26,36,33,32,39
143,104/04/14,38,01,48,49,23,22,11
144,104/04/10,44,17,10,11,42,20,13
145,104/04/07,17,47,11,45,19,33,04
146,104/04/03,36,13,43,32,42,40,41
147,104/05/29,02,34,32,11,28,05,24
148,104/05/26,10,26,45,11,02,20,30
149,104/05/22,23,03,43,28,37,21,05
150,104/05/19,46,16,15,42,29,39,14
151,104/05/15,27,32,18,06,29,03,40
152,104/05/12,01,23,29,31,13,33,17
153,104/05/08,44,15,02,28,10,49,39
154,104/05/05,44,41,28,42,49,08,30
155,104/05/01,15,49,25,29,47,08,09
156,104/06/30,18,35,19,48,46,32,47
157,104/06/26,06,12,05,41,29,28,07
158,104/06/23,45,02,13,35,33,43,05
159,104/06/19,18,11,05,25,38,03,15
160,104/06/16,35,41,04,25,03,45,07
161,104/06/12,28,08,24,22,19,26,18
162,104/06/09,37,03,20,27,44,34,12
163,104/06/05,41,08,48,32,21,35,34
164,104/06/02,07,01,20,19,46,47,13
165,104/07/31,30,40,13,16,32,18,29
166,104/07/28,49,32,06,27,15,44,16
167,104/07/24,25,10,12,42,33,39,29
168,104/07/21,16,44,40,09,08,39,28
169,104/07/17,33,04,27,07,20,40,38
170,104/07/14,45,30,10,12,14,19,41
171,104/07/10,06,05,26,13,47,29,33
172,104/07/07,46,33,01,27,14,42,41
173,104/07/03,21,23,29,41,46,28,24
174,104/08/28,15,11,46,40,08,12,16
175,104/08/25,45,22,13,26,47,15,49
176,104/08/21,20,10,15,21,36,27,45
177,104/08/18,29,49,30,08,20,42,21
178,104/08/14,13,23,42,05,24,14,35
179,104/08/11,45,43,46,02,35,01,14
180,104/08/07,25,36,28,27,37,26,38
181,104/08/04,48,12,03,19,17,38,43
182,104/09/29,01,35,03,25,44,31,15
183,104/09/25,13,38,25,21,09,39,02
184,104/09/22,47,46,06,10,39,44,30
185,104/09/18,16,06,17,41,37,36,28
186,104/09/15,44,13,30,34,31,02,39
187,104/09/11,41,10,05,29,18,44,30
188,104/09/08,08,31,43,28,36,32,09
189,104/09/04,20,49,46,19,44,47,09
190,104/09/01,20,48,40,18,19,09,03
191,104/10/30,15,08,20,03,06,30,40
192,104/10/27,07,17,34,08,10,36,43
193,104/10/23,01,41,16,43,47,46,25
194,104/10/20,32,12,37,17,39,38,27
195,104/10/16,31,20,29,44,25,40,21
196,104/10/13,24,29,32,44,49,31,39
197,104/10/09,35,02,08,27,22,43,24
198,104/10/06,08,10,28,03,38,47,13
199,104/10/02,44,11,45,36,41,15,35
200,104/11/27,04,41,05,23,40,25,11
201,104/11/24,48,01,09,29,28,13,45
202,104/11/20,40,09,04,10,39,42,08
203,104/11/17,02,44,07,47,31,26,36
204,104/11/13,33,18,16,11,31,01,19
205,104/11/10,07,27,45,11,10,28,21
206,104/11/06,30,45,27,49,08,24,42
207,104/11/03,28,45,08,16,48,22,13
208,104/12/29,08,30,32,42,13,01,11
209,104/12/25,12,07,03,16,30,11,13
210,104/12/22,29,49,37,12,13,08,43
211,104/12/18,25,18,15,06,05,11,31
212,104/12/15,22,18,31,23,11,04,19
213,104/12/11,42,25,01,43,04,29,11
214,104/12/08,15,08,40,43,36,32,03
215,104/12/04,16,21,34,47,37,41,29
216,104/12/01,41,37,13,06,19,15,22
217,105/01/29,16,38,35,45,48,44,27
218,105/01/26,17,46,35,11,13,39,02
219,105/01/22,46,20,10,17,15,43,37
220,105/01/19,14,09,46,04,23,44,41
221,105/01/15,27,11,42,06,16,17,35
222,105/01/12,18,15,05,44,40,39,37
223,105/01/08,13,28,44,03,48,10,01
224,105/01/05,07,33,15,25,03,01,21
225,105/01/01,16,41,29,19,24,43,32
226,105/02/26,03,46,21,09,17,41,27
227,105/02/23,20,14,19,43,45,10,22
228,105/02/19,23,20,44,30,11,39,49
229,105/02/16,23,33,11,34,40,29,06
230,105/02/14,21,03,26,16,20,01,22
231,105/02/13,06,18,29,35,04,48,20
232,105/02/12,32,22,06,10,11,45,04
233,105/02/11,03,34,13,48,29,30,28
234,105/02/10,19,32,22,47,18,44,09
235,105/02/09,31,25,09,24,45,37,12
236,105/02/08,27,12,08,32,13,16,24
237,105/02/07,21,11,04,37,35,25,43
238,105/02/05,41,05,30,04,26,38,28
239,105/02/02,48,15,21,26,43,23,34
240,105/03/29,47,18,46,01,34,17,25
241,105/03/25,37,41,07,11,40,22,20
242,105/03/22,33,07,16,20,30,11,06
243,105/03/18,04,18,01,03,25,47,13
244,105/03/15,14,48,06,30,42,47,18
245,105/03/11,09,34,49,36,16,30,31
246,105/03/08,03,30,27,39,41,35,32
247,105/03/04,29,07,05,12,22,17,04
248,105/03/01,34,17,23,14,07,22,12
249,105/04/29,08,27,36,31,14,40,03
250,105/04/26,12,06,34,43,21,25,28
251,105/04/22,48,33,46,19,12,23,29
252,105/04/19,12,41,47,46,39,21,14
253,105/04/15,28,47,13,45,17,09,03
254,105/04/12,19,11,49,45,39,14,23
255,105/04/08,36,45,07,30,13,02,43
256,105/04/05,14,32,38,43,23,26,03
257,105/04/01,39,12,16,29,08,37,40
258,105/05/31,01,46,32,05,02,45,43
259,105/05/27,02,24,13,39,09,16,41
260,105/05/24,08,21,13,33,39,06,45
261,105/05/20,40,25,43,10,05,30,26
262,105/05/17,02,42,03,20,23,34,40
263,105/05/13,10,31,35,38,22,03,37
264,105/05/10,36,38,22,03,04,08,07
265,105/05/06,26,48,01,42,39,37,41
266,105/05/03,40,01,07,17,43,41,33
267,105/06/28,25,46,45,08,39,07,38
268,105/06/24,17,14,39,41,27,28,18
269,105/06/21,36,27,02,49,35,34,26
270,105/06/17,17,21,31,10,07,20,49
271,105/06/14,33,12,37,35,13,16,18
272,105/06/10,23,04,48,22,15,13,03
273,105/06/07,05,39,31,08,44,23,19
274,105/06/03,10,03,41,33,27,44,07
275,105/07/29,28,09,27,15,30,41,13
276,105/07/26,35,41,19,22,09,15,37
277,105/07/22,17,10,33,02,49,27,15
278,105/07/19,07,46,40,33,45,13,39
279,105/07/15,29,24,25,35,33,38,49
280,105/07/12,42,31,46,43,25,34,05
281,105/07/08,13,10,09,19,35,23,38
282,105/07/05,09,17,40,06,15,47,24
283,105/07/01,41,34,20,43,24,08,32
284,105/08/30,01,46,36,27,11,18,26
285,105/08/26,34,49,28,09,42,41,06
286,105/08/23,44,26,38,25,48,37,31
287,105/08/19,19,26,44,46,05,48,36
288,105/08/16,29,20,14,15,05,27,35
289,105/08/12,08,35,43,33,20,42,10
290,105/08/09,15,37,35,17,45,30,41
291,105/08/05,27,40,02,35,22,01,33
292,105/08/02,15,04,20,22,28,29,01
293,105/09/30,48,04,10,31,38,40,05
294,105/09/27,35,15,48,14,16,46,02
295,105/09/23,01,43,33,29,31,02,40
296,105/09/20,22,07,17,44,04,45,32
297,105/09/16,34,31,49,30,17,23,36
298,105/09/13,03,41,16,40,22,33,39
299,105/09/09,41,12,01,44,36,35,21
300,105/09/06,07,04,28,20,45,23,35
301,105/09/02,09,45,46,11,20,21,42
302,105/10/28,10,38,13,01,33,37,40
303,105/10/25,34,15,25,27,33,05,43
304,105/10/21,33,32,02,08,21,37,15
305,105/10/18,44,15,14,47,16,24,21
306,105/10/14,23,10,30,44,29,47,07
307,105/10/11,37,39,02,08,13,14,38
308,105/10/07,10,16,30,42,33,37,43
309,105/10/04,23,11,30,35,44,40,07
310,105/11/29,03,26,28,38,40,21,42
311,105/11/25,03,28,42,01,37,22,10
312,105/11/22,34,21,25,44,01,24,19
313,105/11/18,26,06,18,25,34,24,19
314,105/11/15,08,33,41,43,25,07,06
315,105/11/11,08,28,07,32,02,22,20
316,105/11/08,22,17,06,49,11,03,44
317,105/11/04,49,38,02,03,17,28,21
318,105/11/01,11,10,49,20,15,31,44
319,105/12/30,37,06,07,47,35,38,12
320,105/12/27,40,26,29,10,31,25,02
321,105/12/23,38,42,23,28,41,08,30
322,105/12/20,35,36,46,01,29,44,06
323,105/12/16,25,36,42,19,11,34,08
324,105/12/13,36,29,49,39,33,19,06
325,105/12/09,12,38,42,49,44,28,02
326,105/12/06,46,41,30,32,27,44,42
327,105/12/02,05,25,34,26,49,40,47
328,106/01/31,11,04,33,16,46,28,17
329,106/01/30,26,10,29,19,45,43,20
330,106/01/29,09,22,03,08,14,12,46
331,106/01/28,32,25,19,20,30,01,02
332,106/01/27,01,05,49,07,35,31,42
333,106/01/24,33,09,48,01,17,31,49
334,106/01/20,01,16,05,31,41,18,13
335,106/01/17,40,28,12,04,34,17,07
336,106/01/13,19,25,27,21,38,14,22
337,106/01/10,37,14,04,46,13,39,31
338,106/01/06,35,32,12,40,14,43,17
339,106/01/03,18,41,47,49,22,42,45
340,106/02/28,19,43,30,14,15,06,31
341,106/02/24,47,35,38,12,16,41,01
342,106/02/21,48,39,32,15,08,10,43
343,106/02/17,46,49,23,21,16,06,39
344,106/02/14,10,37,11,21,28,23,24
345,106/02/10,24,07,11,12,15,26,06
346,106/02/07,19,32,06,18,23,49,21
347,106/02/03,11,02,25,33,30,29,20
348,106/02/01,04,43,09,47,32,11,44
349,106/03/31,38,22,24,17,18,25,39
350,106/03/28,32,42,44,22,37,21,38
351,106/03/24,41,49,39,24,36,45,22
352,106/03/21,32,16,43,44,27,08,07
353,106/03/17,04,25,17,40,44,36,08
354,106/03/14,32,33,20,39,17,15,21
355,106/03/10,21,41,48,11,12,35,01
356,106/03/07,22,41,31,06,12,44,02
357,106/03/03,43,02,20,37,48,16,10
358,106/04/28,03,01,31,42,19,32,43
359,106/04/25,41,17,35,32,30,16,26
360,106/04/21,28,39,22,15,05,23,25
361,106/04/18,25,21,14,39,35,36,18
362,106/04/14,29,02,03,42,04,23,14
363,106/04/11,40,22,09,47,36,31,08
364,106/04/07,31,23,37,49,19,32,26
365,106/04/04,05,34,43,17,33,44,04
366,106/05/30,07,30,31,19,14,39,40
367,106/05/26,35,16,08,14,21,19,20
368,106/05/23,02,15,10,22,26,32,42
369,106/05/19,16,21,15,46,28,23,14
370,106/05/16,06,07,14,46,29,05,24
371,106/05/12,35,09,02,25,18,22,14
372,106/05/09,16,17,21,40,20,32,15
373,106/05/05,19,49,09,01,34,18,11
374,106/05/02,27,39,24,36,23,14,13
375,106/06/30,22,08,32,12,30,36,06
376,106/06/27,11,33,47,49,46,34,38
377,106/06/23,02,41,42,12,34,08,07
378,106/06/20,12,33,01,44,29,30,19
379,106/06/16,15,26,36,45,21,01,10
380,106/06/13,36,02,43,04,17,22,40
381,106/06/09,31,37,24,46,32,26,01
382,106/06/06,48,32,16,25,14,36,12
383,106/06/02,08,23,07,03,31,30,32
384,106/07/28,11,22,13,39,18,38,03
385,106/07/25,11,23,33,30,02,42,07
386,106/07/21,42,24,12,32,47,02,29
387,106/07/18,21,42,14,13,29,48,11
388,106/07/14,18,19,25,32,16,26,22
389,106/07/11,19,39,23,06,16,33,07
390,106/07/07,18,49,30,42,40,44,08
391,106/07/04,27,21,30,28,35,04,42
392,106/08/29,31,25,49,18,05,48,44
393,106/08/25,31,01,04,24,19,28,49
394,106/08/22,10,13,36,04,45,44,05
395,106/08/18,10,07,12,38,47,35,23
396,106/08/15,27,28,33,13,42,16,11
397,106/08/11,18,37,09,08,27,02,33
398,106/08/08,06,27,09,46,34,23,20
399,106/08/04,16,45,15,26,27,39,37
400,106/08/01,30,47,02,21,42,12,31
401,106/09/08,13,19,29,15,42,08,25
402,106/09/05,33,27,23,13,17,41,02
403,106/09/01,11,14,36,16,40,05,46
